md5sum	size	simple	outskirt	width	info_round	info	dof_round	dof
cf6f538157e3734c2a47d8e9bf2d7201	15	50	52	44	49	32	53	31
0849313019c4217f02982c207bc0e691	10	29	31	29	29	23	27	21
f60d57ead60984dbf7574362f31246b5	15	45	46	42	42	36	44	32
e01e3786910ca085fa4e8a13680c8baf	10	42	35	46	42	39	43	42
588695eb363b70deda40d85b953048e9	15	49	54	48	47	38	43	43
05f158c227974cee07c87e7c2aac73a6	10	31	29	32	30	24	31	23
097c333c2a038f4382d6f724376e07d7	15	79	88	78	83	63	77	74
5aa2788d00e281850b37da99ffbc816b	10	27	22	23	23	22	26	20
40ce6a3c07d674da7625edfcc795d8f9	15	56	50	61	48	35	53	40
7451fe85e99a30d457b832061a1fea09	10	40	35	40	37	30	39	29
9cf9887e98036e8130ca6e3e4630a893	15	51	51	49	42	40	44	43
8fd8dca6238cb6b9a4adfc9157410d7d	10	31	34	28	28	21	27	21
1b98990ba873660c8ce71831c42a2bae	15	60	61	60	54	41	55	40
9b1d98136c91a1c3e98ccccc571b56b1	10	33	33	30	30	24	27	26
c6ad55557742a761860f2da1d47775d6	10	23	21	22	21	20	22	18
52b28cf0442113e68dbb70a1903062af	15	49	50	49	47	35	41	38
97a4ef0781a2eab3479a3f91363c2644	10	31	31	29	29	18	31	21
26bf6491f4a2cba47ecd1c7de8e3f3e7	15	50	59	49	45	39	43	39
735331c25580bb5f26da94aa4de54be2	10	33	27	34	33	29	34	32
f936725fb5e715657ea28a6b4956e67c	15	65	67	64	62	49	61	65
7c093a5b3a0e6907b1e378a08ec96bdf	10	34	38	32	30	22	33	25
6a9b0e62878a19d4d7fcf07e2db9bff2	15	42	54	41	39	30	42	30
9e6658ceb599395268d2e70273e48002	10	31	32	32	31	22	32	27
5500a0109285210d67879512bcffa4f8	15	67	69	63	53	42	60	44
43da14c4870dce8150edaf8111588c50	10	28	28	32	31	21	31	23
5d3336a939863e8d8fd14ffd8b0ee3d8	15	43	45	37	36	35	34	30
f4b26dbcd24848eb25f0575c0bdf6e5c	10	25	26	21	21	19	19	20
c2da491103ccda8d913c7200b80fe232	15	60	54	61	48	32	53	34
33ac88857ea981ac1bd6c7f3b09c05db	10	35	38	36	31	26	32	25
c7538ff5840e394ffaccc60aea687b29	15	59	56	49	52	39	49	37
7d9b39ccff1ca70429b3f8c0e330d7a9	10	33	39	39	36	30	32	28
93235a5bde4f797971c41d1081e199e2	15	67	61	63	57	47	62	59
09afc51068a35edea11de57ab6c719f8	10	30	27	31	26	21	26	19
13b00c48dc477bdd5293869efadffa64	15	70	77	66	68	54	75	67
b4b3352cc5e9246eef64b4636aae92cb	10	30	32	28	25	22	29	22
377315fa1b5f37ca8c12ad09926ed64b	15	64	68	63	61	38	63	57
5e4579952fbe8b7e001d7ae74e000084	10	40	40	38	40	34	38	35
cb3b0981f9c6be890e623ed31d319ea3	15	93	97	97	93	60	85	78
aa80ead9e4d35173a769c1c6cc231de0	10	45	37	41	43	30	38	28
a571dafaac09cf3b6d0d4250fad825f3	15	50	55	47	45	31	46	38
d611bbd8d5bc4836e2054a91285037ae	10	32	34	31	31	31	29	29
58b31e23259ae5a05060105a82262313	15	58	59	49	46	42	50	39
6201c646efc372531e6448866f3142b4	10	35	36	35	33	28	33	27
2b75d9746f6f94f242e9933ea133bbce	15	52	46	56	51	40	53	46
f79c94e4e7ef9ef31e3a8ae014828acc	10	34	29	30	29	20	31	26
039b9835b106aa0be55fc690a1d0e43c	15	40	39	37	34	30	38	30
160dd16332f5e1d6ca40bd8781ce9eb9	10	30	30	32	29	22	31	23
3d5c3c72b51a2ac9cb7dbc86b893248d	15	55	51	48	42	40	43	44
fcbb4b951fbb3b2d858d36fab159d2dd	10	31	30	35	30	25	32	25
0db1001d77616be67abab9eba342ec1f	15	47	54	45	41	29	47	40
786436c72060b0fe8bfca00578047bca	10	26	32	24	24	24	28	20
e8295ddeaaffbdcc5d977513b8245625	15	53	52	48	52	37	51	52
5456b5f6111568889d3b8e3b702e3082	10	29	32	26	24	24	26	25
89c0ca04f07bb2c9ac94f7191aa174e4	15	51	57	59	47	43	47	48
aab6e3817b6be4395f3909d37436ea82	10	36	35	35	33	30	34	32
607351e125ddbaf625834afd7a114b7a	15	70	72	62	70	51	64	52
b632726c9ce8dfca2486e7358b8a58ab	10	33	32	34	31	20	31	22
0430cf2dc13ac1353df43482fa990a08	15	52	58	53	51	35	55	36
18ef768f85f7122f3361829f781e7624	10	31	34	27	27	22	30	23
665017a8932682ff1191f9afef571f45	15	54	49	52	39	34	43	42
6b948ae08d5f8492318e676aa09d7598	10	28	30	25	27	23	26	24
ebde7e5b27099573155f14f2576772f6	15	56	58	53	49	37	53	50
e3cde6c1d4c5cd6b455b108a8ed1c4d2	10	38	35	32	33	24	30	27
92e1f3509d3c6d73bc5494be0d589ff5	15	45	42	40	37	33	39	32
0b6cab5baa73657f458e676695d50a61	10	34	27	31	33	21	30	29
d94c287f4c84281c80c4e945fb7369b2	15	63	76	69	65	45	65	51
9653f44fda75e5cc2190727068bb3859	10	35	36	32	33	24	32	27
6711d2ef8bbaa50ce1dec9697efcdad8	15	54	53	52	48	38	52	47
c94bb9512bb8c6ca2a4576ee9238fae6	10	40	38	36	42	29	36	28
